"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","W_Corr","P_Corr","Iterations"
"../Scripts/DATA-R-P-Sparse",10,100,0,0.8,1,2,0.164540054765276,0.835467945566905,0.95,13.0575916118986,13.0573479073224,0.978238913378925,0.978380577555566,102
"../Scripts/DATA-R-P-Sparse",10,100,0,1,19,2,6.27033793007109e-07,0.999999786106543,0.95,11.3000707809188,11.3000665190867,0.993235884720897,0.993233660501881,102
"../Scripts/DATA-R-P-Sparse",10,100,0.5,0.8,7,2,0.152096140814265,0.848194645954849,1,10.6022999721292,10.6021644547911,0.997414004533472,0.997610200470126,22
"../Scripts/DATA-R-P-Sparse",10,100,0.5,1,25,2,0.00409470490263205,0.998525540697591,0.9,10.7884998707032,10.7771884842391,0.98351861479051,0.988694405726459,94
"../Scripts/DATA-R-P-Sparse",10,100,0.8,0.8,13,2,0.534424883222713,0.465748736220025,0.8,8.05027097455176,8.05062479455611,NA,NA,8
"../Scripts/DATA-R-P-Sparse",10,100,0.8,1,31,2,1.56893498829545e-31,1,1,8.08879925906603,8.08879925906603,1,1,56
"../Scripts/DATA-R-P-Sparse",10,500,0,0.8,4,2,0.159721418085006,0.840278630881198,0.95,58.344470210719,58.3444541917894,0.999215645938132,0.999220640142402,102
"../Scripts/DATA-R-P-Sparse",10,500,0,1,22,2,1.63750483139314e-09,0.999999999440288,0.95,53.7801199895732,53.7801231140569,0.989094004993782,0.989093856503621,102
"../Scripts/DATA-R-P-Sparse",10,500,0.5,0.8,10,2,0.19700981791355,0.821356233781324,0.6,49.6509922654381,49.4949545404855,0.687725683380242,0.700803029038245,29
"../Scripts/DATA-R-P-Sparse",10,500,0.5,1,28,2,0.0826553550952445,0.968416568463465,0.6,47.1832318916187,46.781483789157,0.789854112746296,0.859181700994572,38
"../Scripts/DATA-R-P-Sparse",10,500,0.8,0.8,16,2,0.157365448308536,0.842727709607147,1,31.4046520258723,31.4049893632955,0.999979584097848,0.9998816964375,16
"../Scripts/DATA-R-P-Sparse",10,500,0.8,1,34,2,1.0299717248091e-30,1,1,24.8470861634353,24.8470861634353,1,1,50
"../Scripts/DATA-R-P-Sparse",100,100,0,0.8,2,2,0.192540287771358,0.807460149738882,0.995,3.26371249869212,3.2637137291458,0.994535721632301,0.994532617856408,13
"../Scripts/DATA-R-P-Sparse",100,100,0,1,20,2,4.21059320517371e-08,0.999999986247127,0.995,3.32496938767311,3.32496936407293,0.999999716753845,0.999999776376876,102
"../Scripts/DATA-R-P-Sparse",100,100,0.5,0.8,8,2,0.238907167899702,0.788875158945961,0.62,3.16513512268729,3.14831707819954,0.68920136016549,0.722660008455495,44
"../Scripts/DATA-R-P-Sparse",100,100,0.5,1,26,2,0.000282201899150856,0.999906011612372,1,3.04621257539332,3.04620156455266,0.999384632043685,0.999414725655552,91
"../Scripts/DATA-R-P-Sparse",100,100,0.8,0.8,14,2,0.193324233148751,0.807552730097239,1,2.01460794425697,2.01484311539296,0.999274378128637,0.998497695222615,28
"../Scripts/DATA-R-P-Sparse",100,100,0.8,1,32,2,0.0914282237111236,0.964940982120883,0.81,2.25736763419383,2.2306254427176,0.680467475883545,0.743278763731833,45
"../Scripts/DATA-R-P-Sparse",100,500,0,0.8,5,2,0.195417586221077,0.804582590974788,0.995,9.29994054119786,9.29994132087418,0.998741899175685,0.99874032057753,13
"../Scripts/DATA-R-P-Sparse",100,500,0,1,23,2,8.76550717875276e-09,0.99999999702939,0.995,9.45926960394142,9.45926958743662,0.999997959752547,0.999997987361705,102
"../Scripts/DATA-R-P-Sparse",100,500,0.5,0.8,11,2,0.195604043383212,0.804567489370525,1,8.63801620592882,8.63807136608705,0.999517716029445,0.999421537809302,58
"../Scripts/DATA-R-P-Sparse",100,500,0.5,1,29,2,2.89108076602073e-05,0.999990352583112,1,8.79306962137525,8.79306709074111,0.999927312534409,0.99993165045553,88
"../Scripts/DATA-R-P-Sparse",100,500,0.8,0.8,17,2,0.298531299616998,0.755775299944856,0.83,6.64002235399199,6.59120246633233,0.625901439973996,0.705960619063297,65
"../Scripts/DATA-R-P-Sparse",100,500,0.8,1,35,2,4.65462463376201e-05,0.999984414267232,1,5.77316227429162,5.77316517736779,0.99995026440754,0.999944942389342,25
"../Scripts/DATA-R-P-Sparse",1000,100,0,0.8,3,2,0.195527698705091,0.804472301304132,0.9995,1.6078631470621,1.60786314726504,0.985253227524236,0.985253224622501,11
"../Scripts/DATA-R-P-Sparse",1000,100,0,1,21,2,3.8660078146403e-13,0.999999999999872,0.9995,1.60043543624488,1.6004354362445,0.999994885198402,0.999994885201202,102
"../Scripts/DATA-R-P-Sparse",1000,100,0.5,0.8,9,2,0.214912972081276,0.796848951652345,0.795,1.48425891182382,1.48230798073645,0.918697344246286,0.940955444953022,102
"../Scripts/DATA-R-P-Sparse",1000,100,0.5,1,27,2,1.77563963569693e-06,0.999999408212755,1,1.51700646221288,1.5170064422436,0.999995587534883,0.999995837870372,77
"../Scripts/DATA-R-P-Sparse",1000,100,0.8,0.8,15,2,0.196177070664407,0.80464317859563,1,1.03315751563161,1.03320892528241,0.999402649940508,0.998627375648813,42
"../Scripts/DATA-R-P-Sparse",1000,100,0.8,1,33,2,0.117922195146492,0.952804439038942,0.827,1.04498270752595,1.03793461749374,0.633567672888208,0.721349492120096,64
"../Scripts/DATA-R-P-Sparse",1000,500,0,0.8,6,2,0.199011190100263,0.80098880992103,0.9995,2.75216401521555,2.75216401475766,0.99947534779024,0.99947535136285,11
"../Scripts/DATA-R-P-Sparse",1000,500,0,1,24,2,1.79791199866258e-10,0.999999999939563,0.9995,2.77297035813061,2.77297035808887,0.999996949147186,0.999996949560037,102
"../Scripts/DATA-R-P-Sparse",1000,500,0.5,0.8,12,2,0.204123689759628,0.79914147397139,0.944,2.52493292105994,2.52424008312691,0.984187514792993,0.990600517059177,102
"../Scripts/DATA-R-P-Sparse",1000,500,0.5,1,30,2,8.8718422460625e-06,0.9999970429504,1,2.52552075813179,2.52552064774269,0.99997973603445,0.999980814501277,93
"../Scripts/DATA-R-P-Sparse",1000,500,0.8,0.8,18,2,0.198986300006668,0.801210188890202,1,1.8498619174435,1.84987618742987,0.999838854549715,0.999677068637088,40
"../Scripts/DATA-R-P-Sparse",1000,500,0.8,1,36,2,0.000164624264282606,0.999945129325616,1,1.81823495517929,1.81823706072277,0.999836545663276,0.999812725686881,50
"../Scripts/DATA-R-W-Sparse",10,100,0,0.8,1,2,0.147933161984889,0.852072155821623,0.95,0.00042594183063032,0.000406533048368658,0.997678399927822,0.997789549540265,102
"../Scripts/DATA-R-W-Sparse",10,100,0,1,19,2,2.90699187397224e-06,0.999998992372261,0.95,0.000790788034388488,0.000788935609782596,0.996026314649785,0.99604569296562,102
"../Scripts/DATA-R-W-Sparse",10,100,0.5,0.8,7,2,0.189353717334168,0.826184472445855,0.8,0.020103711461203,0.0121694043082631,0.930358233070185,0.949636348021259,45
"../Scripts/DATA-R-W-Sparse",10,100,0.5,1,25,2,0.0482497783916805,0.980840410022037,0.7,0.0262291592010946,0.0154263298916435,0.870554021999492,0.92361605164336,48
"../Scripts/DATA-R-W-Sparse",10,100,0.8,0.8,13,2,0.156085273062875,0.844400293850223,1,5.90770580724114e-05,0.00015534228071596,0.999751064630231,0.999167158776513,93
"../Scripts/DATA-R-W-Sparse",10,100,0.8,1,31,2,1.37260944380502e-31,1,1,9.86076131526265e-33,8.14337518712768e-33,1,1,51
"../Scripts/DATA-R-W-Sparse",10,500,0,0.8,4,2,0.157675996718107,0.842386406191618,0.95,0.000787795034810212,0.000760446904647417,0.996292526613294,0.996368723328606,102
"../Scripts/DATA-R-W-Sparse",10,500,0,1,22,2,0.000518676194493681,0.999822532297207,0.95,0.000284436398688767,0.000142219503064409,0.998356328450564,0.99923110734166,102
"../Scripts/DATA-R-W-Sparse",10,500,0.5,0.8,10,2,0.179153332184017,0.832440053062341,0.7,0.0293527633670931,0.0242399242345542,0.853504841402791,0.882394697384757,57
"../Scripts/DATA-R-W-Sparse",10,500,0.5,1,28,2,5.21049381178387e-06,0.99999827683105,1,1.87230153947026e-06,1.87215211131837e-06,0.999990724951187,0.999990835256916,37
"../Scripts/DATA-R-W-Sparse",10,500,0.8,0.8,16,2,0.163942765463229,0.836165406809879,1,1.64589091441333e-06,2.32849245674309e-05,0.999993396489609,0.999904012775344,15
