Folder,n_variables,s_size,p_sparse,VAFx,n_components,VAF,Recovery_Rate,MSE_W,MSE_P,Bias_W,Bias_P,W_Corr,P_Corr,MSE_W_P
../Scripts/DATA-R-P-Sparse,10,100,0,0.8,2,0.839528984,1,13.14088835,13.14078241,-0.022132373,-0.022042125,0.984674043,0.984716444,3.23E-06
../Scripts/DATA-R-P-Sparse,10,100,0,1,2,1,1,12.31883148,12.31883148,0.570959067,0.570959068,0.97903398,0.97903398,3.40E-17
../Scripts/DATA-R-P-Sparse,10,100,0.5,0.8,2,0.841744315,1,11.19586447,11.15385729,0.035216437,0.026857199,0.985154529,0.994043027,0.002306183
../Scripts/DATA-R-P-Sparse,10,100,0.5,1,2,1,0.78,11.39189732,11.07537006,0.35323187,0.328646226,0.786798748,0.830103795,0.023620361
../Scripts/DATA-R-P-Sparse,10,100,0.8,0.8,2,0.841648497,0.98,7.074216186,7.032301272,0.051468257,0.052752801,0.972031872,0.985897235,0.003727222
../Scripts/DATA-R-P-Sparse,10,100,0.8,1,2,1,0.8,8.795508861,7.911079654,-0.167276529,-0.165891427,0.797104389,0.998833464,0.060762046
../Scripts/DATA-R-P-Sparse,10,500,0,0.8,2,0.841289364,1,55.43378705,55.43376959,-0.51916323,-0.519140602,0.961656752,0.961667455,6.83E-08
../Scripts/DATA-R-P-Sparse,10,500,0,1,2,1,1,56.02701903,56.02701903,-0.14676051,-0.146760507,0.999587873,0.999587873,9.92E-16
../Scripts/DATA-R-P-Sparse,10,500,0.5,0.8,2,0.838625063,0.9,48.78259169,48.57506538,-0.210457765,-0.20984382,0.927130271,0.944527505,0.005505253
../Scripts/DATA-R-P-Sparse,10,500,0.5,1,2,1,0.7,50.26730883,49.73476579,-0.243678858,-0.238278584,0.756633482,0.807509208,0.016707192
../Scripts/DATA-R-P-Sparse,10,500,0.8,0.8,2,0.83719673,0.98,33.14838362,33.09092649,0.320258068,0.315581221,0.977913214,0.98491308,0.001794536
../Scripts/DATA-R-P-Sparse,10,500,0.8,1,2,1,0.84,31.69741822,30.25773753,0.439592152,0.4303652,0.712733651,0.867329314,0.053215738
../Scripts/DATA-R-P-Sparse,100,100,0,0.8,2,0.807175211,1,3.368786574,3.368783149,-0.062669432,-0.062671809,0.937335428,0.937336733,1.42E-07
../Scripts/DATA-R-P-Sparse,100,100,0,1,2,1,1,3.315431802,3.315431802,0.010229094,0.010229093,0.988222075,0.988222075,1.07E-17
../Scripts/DATA-R-P-Sparse,100,100,0.5,0.8,2,0.808074204,0.864,3.134405749,3.086000877,-0.026978852,-0.025929406,0.856908892,0.920109859,0.001747519
../Scripts/DATA-R-P-Sparse,100,100,0.5,1,2,1,0.794,3.108184644,3.065814999,0.005932069,0.00684136,0.809410301,0.866673984,0.001520289
../Scripts/DATA-R-P-Sparse,100,100,0.8,0.8,2,0.806763709,0.928,2.173207909,2.117884386,-0.022033622,-0.019109142,0.81853338,0.901015866,0.002976912
../Scripts/DATA-R-P-Sparse,100,100,0.8,1,2,1,0.874,2.146505825,2.03050633,0.017494881,0.012332318,0.697540465,0.869281774,0.006096589
../Scripts/DATA-R-P-Sparse,100,500,0,0.8,2,0.804970005,1,9.340639506,9.340639073,0.098619077,0.098616217,0.992940159,0.992940312,7.95E-09
../Scripts/DATA-R-P-Sparse,100,500,0,1,2,1,1,9.554176184,9.554176184,-0.077060611,-0.077060611,0.99915946,0.99915946,6.91E-17
../Scripts/DATA-R-P-Sparse,100,500,0.5,0.8,2,0.804321185,0.806,8.942387806,8.861976871,-0.039636688,-0.039848784,0.825796161,0.890098968,0.001634302
../Scripts/DATA-R-P-Sparse,100,500,0.5,1,2,1,0.828,8.801616176,8.728055812,0.052480132,0.052284783,0.821322039,0.880158632,0.001654749
../Scripts/DATA-R-P-Sparse,100,500,0.8,0.8,2,0.802438425,0.874,6.332283979,6.172210565,-0.012925667,-0.01217186,0.67816149,0.81740943,0.005391511
../Scripts/DATA-R-P-Sparse,100,500,0.8,1,2,1,0.932,6.041518407,5.854452095,-0.079710474,-0.079758791,0.742591833,0.909138289,0.005713538
../Scripts/DATA-R-P-Sparse,1000,100,0,0.8,2,0.80443786,1,1.605880367,1.605879085,0.005696345,0.005698841,0.937479113,0.937485802,2.09E-08
